"ver";"code";"titel"
"2010";B17.9;Akute Virushepatitis, nicht näher bezeichnet
"2010";U69.2-!;Sekundäre Schlüsselnummern für besondere epidemiologische Zwecke
"2010";U69.20!;Influenza A/H1N1 Pandemie 2009 [Schweinegrippe]
"2010";U69.21!;Influenza A/H5N1 Epidemie [Vogelgrippe]
"2016";A97.-;Dengue
"2016";A97.0;Dengue ohne Warnzeichen
"2016";A97.1;Dengue mit Warnzeichen
"2016";A97.2;Schweres Dengue
"2016";A97.9;Dengue, nicht näher bezeichnet
"2021";U07.1!;COVID-19, Virus nachgewiesen
"2021";U07.2!;COVID-19, Virus nicht nachgewiesen
"2021";U10.-;Multisystemisches Entzündungssyndrom in Verbindung mit COVID-19
"2021";U10.9;Multisystemisches Entzündungssyndrom in Verbindung mit COVID-19, nicht näher bezeichnet
